# Identifier	Cytoplasmic effector	Apoplastic effector	Non-effector	Prediction
FUN_005892-T1 FUN_005892	-	-	Y (0.703)	Non-effector
FUN_005893-T1 FUN_005893	-	-	Y (0.604)	Non-effector
FUN_005894-T1 FUN_005894	-	-	Y (0.709)	Non-effector
FUN_005895-T1 FUN_005895	-	-	Y (0.878)	Non-effector
FUN_005896-T1 FUN_005896	-	-	Y (0.868)	Non-effector
FUN_005897-T1 FUN_005897	-	-	Y (0.573)	Non-effector
FUN_005898-T1 FUN_005898	-	-	Y (0.777)	Non-effector
FUN_005899-T1 FUN_005899	-	-	Y (0.692)	Non-effector
FUN_005900-T1 FUN_005900	-	-	Y (0.74)	Non-effector
FUN_005901-T1 FUN_005901	-	-	Y (0.868)	Non-effector
FUN_005902-T1 FUN_005902	Y (0.638)	-	-	Cytoplasmic effector
FUN_005903-T1 FUN_005903	-	-	Y (0.911)	Non-effector
FUN_005903-T2 FUN_005903	-	-	Y (0.951)	Non-effector
FUN_005904-T1 FUN_005904	Y (0.665)	-	-	Cytoplasmic effector
FUN_005905-T1 FUN_005905	-	-	Y (0.706)	Non-effector
FUN_005906-T1 FUN_005906	-	-	Y (0.983)	Non-effector
FUN_005907-T1 FUN_005907	-	-	Y (0.622)	Non-effector
FUN_005908-T1 FUN_005908	-	-	Y (0.762)	Non-effector
FUN_005909-T1 FUN_005909	-	-	Y (0.714)	Non-effector
FUN_005910-T1 FUN_005910	-	-	Y (0.668)	Non-effector
FUN_005911-T1 FUN_005911	Y (0.67)	-	-	Cytoplasmic effector
FUN_005912-T1 FUN_005912	-	-	Y (0.551)	Non-effector
FUN_005913-T1 FUN_005913	Y (0.727)	-	-	Cytoplasmic effector
FUN_005914-T1 FUN_005914	-	-	Y (0.733)	Non-effector
FUN_005915-T1 FUN_005915	-	-	Y (0.685)	Non-effector
FUN_005916-T1 FUN_005916	-	-	Y (0.687)	Non-effector
FUN_005917-T1 FUN_005917	-	-	Y (0.698)	Non-effector
FUN_005918-T1 FUN_005918	-	-	Y (0.909)	Non-effector
FUN_005919-T1 FUN_005919	Y (0.899)	-	-	Cytoplasmic effector
FUN_005920-T1 FUN_005920	-	-	Y (0.987)	Non-effector
FUN_005921-T1 FUN_005921	-	-	Y (0.773)	Non-effector
FUN_005922-T1 FUN_005922	-	-	Y (0.576)	Non-effector
FUN_005923-T1 FUN_005923	Y (0.893)	-	-	Cytoplasmic effector
FUN_005924-T1 FUN_005924	-	-	Y (0.902)	Non-effector
FUN_005925-T1 FUN_005925	-	-	Y (0.838)	Non-effector
FUN_005926-T1 FUN_005926	-	Y (0.779)	-	Apoplastic effector
FUN_005927-T1 FUN_005927	-	-	Y (0.879)	Non-effector
FUN_005928-T1 FUN_005928	-	-	Y (0.885)	Non-effector
FUN_005929-T1 FUN_005929	Y (0.796)	-	-	Cytoplasmic effector
FUN_005930-T1 FUN_005930	-	-	Y (0.753)	Non-effector
FUN_005931-T1 FUN_005931	-	-	Y (0.801)	Non-effector
FUN_005932-T1 FUN_005932	Y (0.782)	-	-	Cytoplasmic effector
FUN_005933-T1 FUN_005933	-	-	Y (0.69)	Non-effector
FUN_005934-T1 FUN_005934	-	-	Y (0.683)	Non-effector
FUN_005935-T1 FUN_005935	-	-	Y (0.933)	Non-effector
FUN_005936-T1 FUN_005936	-	-	Y (0.987)	Non-effector
FUN_005937-T1 FUN_005937	-	-	Y (0.856)	Non-effector
FUN_005938-T1 FUN_005938	-	-	Y (0.636)	Non-effector
FUN_005939-T1 FUN_005939	-	-	Y (0.9)	Non-effector
FUN_005940-T1 FUN_005940	-	-	Y (0.847)	Non-effector
FUN_005941-T1 FUN_005941	-	-	Y (0.515)	Non-effector
FUN_005942-T1 FUN_005942	-	-	Y (0.982)	Non-effector
FUN_005943-T1 FUN_005943	-	Y (0.585)	-	Apoplastic effector
FUN_005944-T1 FUN_005944	Y (0.7)	-	-	Cytoplasmic effector
FUN_005945-T1 FUN_005945	-	-	Y (0.872)	Non-effector
FUN_005946-T1 FUN_005946	-	-	Y (0.819)	Non-effector
FUN_005947-T1 FUN_005947	-	-	Y (0.502)	Non-effector
FUN_005947-T2 FUN_005947	Y (0.511)	-	-	Cytoplasmic effector
FUN_005948-T1 FUN_005948	-	-	Y (0.825)	Non-effector
FUN_005949-T1 FUN_005949	-	-	Y (0.778)	Non-effector
FUN_005950-T1 FUN_005950	-	-	Y (0.964)	Non-effector
FUN_005951-T1 FUN_005951	-	-	Y (0.868)	Non-effector
FUN_005952-T1 FUN_005952	-	-	Y (0.662)	Non-effector
FUN_005953-T1 FUN_005953	-	-	Y (0.625)	Non-effector
FUN_005954-T1 FUN_005954	-	-	Y (0.711)	Non-effector
FUN_005955-T1 FUN_005955	Y (0.928)	-	-	Cytoplasmic effector
FUN_005956-T1 FUN_005956	-	-	Y (0.663)	Non-effector
FUN_005957-T1 FUN_005957	Y (0.697)	-	-	Cytoplasmic effector
FUN_005958-T1 FUN_005958	-	-	Y (0.965)	Non-effector
FUN_005959-T1 FUN_005959	-	-	Y (0.821)	Non-effector
FUN_005960-T1 FUN_005960	Y (0.762)	-	-	Cytoplasmic effector
FUN_005961-T1 FUN_005961	-	-	Y (0.564)	Non-effector
FUN_005962-T1 FUN_005962	-	-	Y (0.538)	Non-effector
FUN_005963-T1 FUN_005963	Y (0.629)	-	-	Cytoplasmic effector
FUN_005964-T1 FUN_005964	Y (0.67)	-	-	Cytoplasmic effector
FUN_005965-T1 FUN_005965	Y (0.852)	-	-	Cytoplasmic effector
FUN_005966-T1 FUN_005966	-	-	Y (0.513)	Non-effector
FUN_005967-T1 FUN_005967	-	-	Y (0.746)	Non-effector
FUN_005968-T1 FUN_005968	-	-	Y (0.571)	Non-effector
FUN_005969-T1 FUN_005969	-	-	Y (0.574)	Non-effector
FUN_005970-T1 FUN_005970	-	-	Y (0.656)	Non-effector
FUN_005970-T2 FUN_005970	-	-	Y (0.738)	Non-effector
FUN_005971-T1 FUN_005971	Y (0.521)	-	-	Cytoplasmic effector
FUN_005972-T1 FUN_005972	-	-	Y (0.829)	Non-effector
FUN_005973-T1 FUN_005973	Y (0.506)	-	-	Cytoplasmic effector
FUN_005974-T1 FUN_005974	-	-	Y (0.747)	Non-effector
FUN_005975-T1 FUN_005975	Y (0.857)	-	-	Cytoplasmic effector
FUN_005976-T1 FUN_005976	-	-	Y (0.77)	Non-effector
FUN_005977-T1 FUN_005977	-	-	Y (0.746)	Non-effector
FUN_005978-T1 FUN_005978	Y (0.848)	-	-	Cytoplasmic effector
FUN_005979-T1 FUN_005979	-	-	Y (0.854)	Non-effector
FUN_005980-T1 FUN_005980	-	-	Y (0.922)	Non-effector
FUN_005981-T1 FUN_005981	-	-	Y (0.954)	Non-effector
FUN_005981-T2 FUN_005981	-	-	Y (0.949)	Non-effector
FUN_005982-T1 FUN_005982	-	-	Y (0.724)	Non-effector
FUN_005983-T1 FUN_005983	-	-	Y (0.706)	Non-effector
FUN_005984-T1 FUN_005984	-	-	Y (0.596)	Non-effector
FUN_005985-T1 FUN_005985	-	-	Y (0.595)	Non-effector
FUN_005986-T1 FUN_005986	-	-	Y (0.985)	Non-effector
FUN_005987-T1 FUN_005987	-	-	Y (0.534)	Non-effector
FUN_005988-T1 FUN_005988	Y (0.8)	-	-	Cytoplasmic effector
FUN_005989-T1 FUN_005989	-	-	Y (0.944)	Non-effector
FUN_005990-T1 FUN_005990	-	-	Y (0.653)	Non-effector
FUN_005991-T1 FUN_005991	-	-	Y (0.821)	Non-effector
FUN_005992-T1 FUN_005992	-	-	Y (0.724)	Non-effector
FUN_005992-T2 FUN_005992	-	-	Y (0.76)	Non-effector
FUN_005993-T1 FUN_005993	Y (0.855)	-	-	Cytoplasmic effector
FUN_005994-T1 FUN_005994	-	-	Y (0.64)	Non-effector
FUN_005995-T1 FUN_005995	-	-	Y (0.831)	Non-effector
FUN_005996-T1 FUN_005996	-	-	Y (0.986)	Non-effector
FUN_005997-T1 FUN_005997	-	-	Y (0.988)	Non-effector
FUN_005998-T1 FUN_005998	-	-	Y (0.617)	Non-effector
FUN_005999-T1 FUN_005999	-	-	Y (0.963)	Non-effector
FUN_006000-T1 FUN_006000	-	-	Y (0.612)	Non-effector
FUN_006001-T1 FUN_006001	Y (0.663)	-	-	Cytoplasmic effector
FUN_006002-T1 FUN_006002	Y (0.764)	-	-	Cytoplasmic effector
FUN_006003-T1 FUN_006003	-	-	Y (0.82)	Non-effector
FUN_006004-T1 FUN_006004	-	-	Y (0.847)	Non-effector
FUN_006005-T1 FUN_006005	-	-	Y (0.881)	Non-effector
FUN_006006-T1 FUN_006006	-	-	Y (0.987)	Non-effector
FUN_006007-T1 FUN_006007	-	-	Y (0.855)	Non-effector
FUN_006008-T1 FUN_006008	Y (0.511)	-	-	Cytoplasmic effector
FUN_006009-T1 FUN_006009	-	-	Y (0.958)	Non-effector
FUN_006010-T1 FUN_006010	-	-	Y (0.611)	Non-effector
FUN_006011-T1 FUN_006011	-	-	Y (0.923)	Non-effector
FUN_006012-T1 FUN_006012	-	-	Y (0.94)	Non-effector
FUN_006013-T1 FUN_006013	Y (0.665)	-	-	Cytoplasmic effector
FUN_006014-T1 FUN_006014	-	-	Y (0.956)	Non-effector
FUN_006015-T1 FUN_006015	-	-	Y (0.696)	Non-effector
FUN_006016-T1 FUN_006016	-	-	Y (0.792)	Non-effector
FUN_006017-T1 FUN_006017	-	-	Y (0.607)	Non-effector
FUN_006018-T1 FUN_006018	Y (0.868)	-	-	Cytoplasmic effector
FUN_006019-T1 FUN_006019	-	-	Y (0.784)	Non-effector
FUN_006020-T1 FUN_006020	-	-	Y (0.985)	Non-effector
FUN_006021-T1 FUN_006021	-	-	Y (0.617)	Non-effector
FUN_006022-T1 FUN_006022	-	-	Y (0.908)	Non-effector
FUN_006023-T1 FUN_006023	-	-	Y (0.77)	Non-effector
FUN_006024-T1 FUN_006024	Y (0.63)	-	-	Cytoplasmic effector
FUN_006025-T1 FUN_006025	-	-	Y (0.677)	Non-effector
FUN_006026-T1 FUN_006026	Y (0.834)	-	-	Cytoplasmic effector
FUN_006027-T1 FUN_006027	Y (0.843)	-	-	Cytoplasmic effector
FUN_006028-T1 FUN_006028	-	-	Y (0.954)	Non-effector
FUN_006029-T1 FUN_006029	-	-	Y (0.938)	Non-effector
FUN_006030-T1 FUN_006030	Y (0.922)	-	-	Cytoplasmic effector
FUN_006031-T1 FUN_006031	Y (0.636)	-	-	Cytoplasmic effector
FUN_006032-T1 FUN_006032	-	-	Y (0.963)	Non-effector
FUN_006033-T1 FUN_006033	Y (0.889)	-	-	Cytoplasmic effector
FUN_006034-T1 FUN_006034	Y (0.768)	-	-	Cytoplasmic effector
FUN_006035-T1 FUN_006035	Y (0.59)	-	-	Cytoplasmic effector
FUN_006036-T1 FUN_006036	Y (0.575)	-	-	Cytoplasmic effector
FUN_006037-T1 FUN_006037	-	-	Y (0.773)	Non-effector
FUN_006038-T1 FUN_006038	-	-	Y (0.921)	Non-effector
FUN_006039-T1 FUN_006039	Y (0.656)	-	-	Cytoplasmic effector
FUN_006040-T1 FUN_006040	-	-	Y (0.958)	Non-effector
FUN_006041-T1 FUN_006041	Y (0.515)	-	-	Cytoplasmic effector
FUN_006042-T1 FUN_006042	-	-	Y (0.827)	Non-effector
FUN_006043-T1 FUN_006043	-	-	Y (0.828)	Non-effector
FUN_006044-T1 FUN_006044	Y (0.89)	-	-	Cytoplasmic effector
FUN_006045-T1 FUN_006045	-	Y (0.605)	-	Apoplastic effector
FUN_006046-T1 FUN_006046	Y (0.886)	-	-	Cytoplasmic effector
FUN_006047-T1 FUN_006047	Y (0.743)	-	-	Cytoplasmic effector
FUN_006048-T1 FUN_006048	Y (0.855)	-	-	Cytoplasmic effector
FUN_006049-T1 FUN_006049	-	-	Y (0.522)	Non-effector
FUN_006050-T1 FUN_006050	-	Y (0.524)	-	Apoplastic effector
FUN_006051-T1 FUN_006051	Y (0.894)	-	-	Cytoplasmic effector
FUN_006052-T1 FUN_006052	Y (0.517)	-	-	Cytoplasmic effector
FUN_006053-T1 FUN_006053	-	-	Y (0.659)	Non-effector
FUN_006054-T1 FUN_006054	-	-	Y (0.551)	Non-effector
FUN_006055-T1 FUN_006055	-	-	Y (0.969)	Non-effector
FUN_006056-T1 FUN_006056	-	-	Y (0.788)	Non-effector
FUN_006057-T1 FUN_006057	-	-	Y (0.701)	Non-effector
FUN_006058-T1 FUN_006058	-	-	Y (0.774)	Non-effector
FUN_006059-T1 FUN_006059	-	-	Y (0.829)	Non-effector
FUN_006060-T1 FUN_006060	-	-	Y (0.919)	Non-effector
FUN_006061-T1 FUN_006061	-	-	Y (0.527)	Non-effector
FUN_006062-T1 FUN_006062	Y (0.604)	-	-	Cytoplasmic effector
FUN_006063-T1 FUN_006063	-	-	Y (0.982)	Non-effector
FUN_006064-T1 FUN_006064	-	-	Y (0.922)	Non-effector
FUN_006065-T1 FUN_006065	Y (0.511)	-	-	Cytoplasmic effector
FUN_006066-T1 FUN_006066	Y (0.726)	-	-	Cytoplasmic effector
FUN_006067-T1 FUN_006067	-	-	Y (0.956)	Non-effector
FUN_006069-T1 FUN_006069	Y (0.744)	-	-	Cytoplasmic effector
FUN_006070-T1 FUN_006070	-	-	Y (0.849)	Non-effector
FUN_006071-T1 FUN_006071	-	-	Y (0.85)	Non-effector
FUN_006072-T1 FUN_006072	-	-	Y (0.518)	Non-effector
FUN_006073-T1 FUN_006073	Y (0.55)	-	-	Cytoplasmic effector
FUN_006074-T1 FUN_006074	Y (0.864)	-	-	Cytoplasmic effector
FUN_006075-T1 FUN_006075	-	-	Y (0.674)	Non-effector
FUN_006076-T1 FUN_006076	-	-	Y (0.947)	Non-effector
FUN_006077-T1 FUN_006077	-	-	Y (0.827)	Non-effector
FUN_006078-T1 FUN_006078	-	-	Y (0.986)	Non-effector
FUN_006079-T1 FUN_006079	-	-	Y (0.918)	Non-effector
FUN_006080-T1 FUN_006080	-	-	Y (0.51)	Non-effector
FUN_006081-T1 FUN_006081	-	-	Y (0.951)	Non-effector
FUN_006082-T1 FUN_006082	-	-	Y (0.513)	Non-effector
FUN_006083-T1 FUN_006083	-	-	Y (0.6)	Non-effector
FUN_006084-T1 FUN_006084	-	-	Y (0.927)	Non-effector
FUN_006085-T1 FUN_006085	-	-	Y (0.848)	Non-effector
FUN_006086-T1 FUN_006086	Y (0.842)	-	-	Cytoplasmic effector
FUN_006087-T1 FUN_006087	-	Y (0.653)	-	Apoplastic effector
FUN_006088-T1 FUN_006088	-	-	Y (0.798)	Non-effector
FUN_006089-T1 FUN_006089	-	-	Y (0.552)	Non-effector
FUN_006090-T1 FUN_006090	-	-	Y (0.675)	Non-effector
FUN_006091-T1 FUN_006091	-	-	Y (0.542)	Non-effector
FUN_006092-T1 FUN_006092	-	-	Y (0.974)	Non-effector
FUN_006093-T1 FUN_006093	-	-	Y (0.687)	Non-effector
FUN_006094-T1 FUN_006094	Y (0.826)	-	-	Cytoplasmic effector
FUN_006095-T1 FUN_006095	-	-	Y (0.63)	Non-effector
FUN_006096-T1 FUN_006096	Y (0.616)	-	-	Cytoplasmic effector
FUN_006097-T1 FUN_006097	-	-	Y (0.909)	Non-effector
FUN_006098-T1 FUN_006098	-	-	Y (0.93)	Non-effector
FUN_006099-T1 FUN_006099	-	-	Y (0.739)	Non-effector
FUN_006100-T1 FUN_006100	Y (0.654)	-	-	Cytoplasmic effector
FUN_006101-T1 FUN_006101	-	-	Y (0.927)	Non-effector
FUN_006102-T1 FUN_006102	Y (0.727)	-	-	Cytoplasmic effector
FUN_006103-T1 FUN_006103	-	-	Y (0.891)	Non-effector
FUN_006104-T1 FUN_006104	-	-	Y (0.815)	Non-effector
FUN_006105-T1 FUN_006105	Y (0.521)	-	-	Cytoplasmic effector
FUN_006106-T1 FUN_006106	Y (0.512)	-	-	Cytoplasmic effector
FUN_006107-T1 FUN_006107	-	-	Y (0.507)	Non-effector
FUN_006108-T1 FUN_006108	Y (0.605)	-	-	Cytoplasmic effector
FUN_006109-T1 FUN_006109	Y (0.736)	-	-	Cytoplasmic effector
FUN_006110-T1 FUN_006110	-	-	Y (0.95)	Non-effector
FUN_006111-T1 FUN_006111	-	-	Y (0.96)	Non-effector
FUN_006112-T1 FUN_006112	-	-	Y (0.908)	Non-effector
FUN_006113-T1 FUN_006113	-	-	Y (0.709)	Non-effector
FUN_006113-T2 FUN_006113	-	-	Y (0.609)	Non-effector
FUN_006114-T1 FUN_006114	-	-	Y (0.921)	Non-effector
FUN_006115-T1 FUN_006115	-	-	Y (0.692)	Non-effector
FUN_006116-T1 FUN_006116	-	-	Y (0.748)	Non-effector
FUN_006117-T1 FUN_006117	Y (0.667)	-	-	Cytoplasmic effector
FUN_006118-T1 FUN_006118	Y (0.747)	-	-	Cytoplasmic effector
FUN_006119-T1 FUN_006119	Y (0.68)	-	-	Cytoplasmic effector
FUN_006120-T1 FUN_006120	-	-	Y (0.894)	Non-effector
FUN_006121-T1 FUN_006121	-	-	Y (0.953)	Non-effector
FUN_006122-T1 FUN_006122	-	-	Y (0.961)	Non-effector
FUN_006123-T1 FUN_006123	-	-	Y (0.753)	Non-effector
FUN_006124-T1 FUN_006124	-	-	Y (0.678)	Non-effector
FUN_006124-T2 FUN_006124	-	-	Y (0.817)	Non-effector
FUN_006125-T1 FUN_006125	-	-	Y (0.975)	Non-effector
FUN_006126-T1 FUN_006126	-	-	Y (0.987)	Non-effector
FUN_006127-T1 FUN_006127	-	-	Y (0.737)	Non-effector
FUN_006128-T1 FUN_006128	-	-	Y (0.945)	Non-effector
FUN_006129-T1 FUN_006129	-	-	Y (0.549)	Non-effector
FUN_006130-T1 FUN_006130	Y (0.69)	-	-	Cytoplasmic effector
FUN_006131-T1 FUN_006131	-	-	Y (0.869)	Non-effector
FUN_006132-T1 FUN_006132	Y (0.503)	-	-	Cytoplasmic effector
FUN_006133-T1 FUN_006133	-	-	Y (0.986)	Non-effector
FUN_006134-T1 FUN_006134	-	-	Y (0.865)	Non-effector
FUN_006135-T1 FUN_006135	Y (0.571)	-	-	Cytoplasmic effector
FUN_006136-T1 FUN_006136	Y (0.894)	-	-	Cytoplasmic effector
FUN_006137-T1 FUN_006137	Y (0.98)	-	-	Cytoplasmic effector
FUN_006138-T1 FUN_006138	Y (0.852)	-	-	Cytoplasmic effector
FUN_006139-T1 FUN_006139	-	-	Y (0.59)	Non-effector
FUN_006140-T1 FUN_006140	-	-	Y (0.988)	Non-effector
FUN_006141-T1 FUN_006141	-	-	Y (0.74)	Non-effector
FUN_006142-T1 FUN_006142	-	Y (0.698)	-	Apoplastic effector
FUN_006143-T1 FUN_006143	-	-	Y (0.991)	Non-effector
FUN_006144-T1 FUN_006144	-	-	Y (0.598)	Non-effector
FUN_006145-T1 FUN_006145	-	-	Y (0.683)	Non-effector
FUN_006146-T1 FUN_006146	-	-	Y (0.643)	Non-effector
FUN_006147-T1 FUN_006147	Y (0.746)	-	-	Cytoplasmic effector
FUN_006148-T1 FUN_006148	-	-	Y (0.68)	Non-effector
FUN_006149-T1 FUN_006149	-	-	Y (0.912)	Non-effector
FUN_006150-T1 FUN_006150	-	-	Y (0.911)	Non-effector
FUN_006151-T1 FUN_006151	Y (0.761)	-	-	Cytoplasmic effector
FUN_006152-T1 FUN_006152	-	-	Y (0.957)	Non-effector
FUN_006153-T1 FUN_006153	-	-	Y (0.616)	Non-effector
FUN_006154-T1 FUN_006154	-	-	Y (0.62)	Non-effector
FUN_006155-T1 FUN_006155	Y (0.858)	-	-	Cytoplasmic effector
FUN_006156-T1 FUN_006156	-	-	Y (0.763)	Non-effector
FUN_006156-T2 FUN_006156	Y (0.531)	-	-	Cytoplasmic effector
FUN_006157-T1 FUN_006157	Y (0.926)	-	-	Cytoplasmic effector
FUN_006158-T1 FUN_006158	-	-	Y (0.814)	Non-effector
FUN_006159-T1 FUN_006159	-	-	Y (0.757)	Non-effector
FUN_006159-T2 FUN_006159	-	-	Y (0.553)	Non-effector
FUN_006160-T1 FUN_006160	-	-	Y (0.904)	Non-effector
FUN_006160-T2 FUN_006160	-	-	Y (0.931)	Non-effector
FUN_006161-T1 FUN_006161	Y (0.708)	-	-	Cytoplasmic effector
FUN_006162-T1 FUN_006162	-	-	Y (0.838)	Non-effector
FUN_006163-T1 FUN_006163	-	-	Y (0.871)	Non-effector
FUN_006164-T1 FUN_006164	Y (0.876)	-	-	Cytoplasmic effector
FUN_006165-T1 FUN_006165	Y (0.643)	-	-	Cytoplasmic effector
FUN_006166-T1 FUN_006166	-	-	Y (0.987)	Non-effector
FUN_006167-T1 FUN_006167	-	-	Y (0.878)	Non-effector
FUN_006168-T1 FUN_006168	-	-	Y (0.728)	Non-effector
FUN_006169-T1 FUN_006169	-	-	Y (0.865)	Non-effector
FUN_006170-T1 FUN_006170	Y (0.565)	-	-	Cytoplasmic effector
FUN_006171-T1 FUN_006171	Y (0.837)	-	-	Cytoplasmic effector
FUN_006172-T1 FUN_006172	-	-	Y (0.677)	Non-effector
FUN_006173-T1 FUN_006173	Y (0.757)	-	-	Cytoplasmic effector
FUN_006174-T1 FUN_006174	-	-	Y (0.936)	Non-effector
FUN_006175-T1 FUN_006175	-	-	Y (0.919)	Non-effector
FUN_006175-T2 FUN_006175	-	-	Y (0.872)	Non-effector
FUN_006176-T1 FUN_006176	Y (0.763)	-	-	Cytoplasmic effector
FUN_006177-T1 FUN_006177	-	-	Y (0.652)	Non-effector
FUN_006178-T1 FUN_006178	-	-	Y (0.618)	Non-effector
FUN_006179-T1 FUN_006179	Y (0.744)	-	-	Cytoplasmic effector
FUN_006180-T1 FUN_006180	-	-	Y (0.977)	Non-effector
FUN_006180-T2 FUN_006180	-	-	Y (0.969)	Non-effector
FUN_006180-T3 FUN_006180	-	-	Y (0.976)	Non-effector
FUN_006181-T1 FUN_006181	-	-	Y (0.579)	Non-effector
FUN_006182-T1 FUN_006182	-	-	Y (0.89)	Non-effector
FUN_006183-T1 FUN_006183	-	-	Y (0.883)	Non-effector
FUN_006184-T1 FUN_006184	-	-	Y (0.961)	Non-effector
FUN_006185-T1 FUN_006185	-	-	Y (0.647)	Non-effector
FUN_006186-T1 FUN_006186	-	-	Y (0.84)	Non-effector
FUN_006187-T1 FUN_006187	Y (0.805)	-	-	Cytoplasmic effector
FUN_006188-T1 FUN_006188	-	-	Y (0.823)	Non-effector
FUN_006189-T1 FUN_006189	-	-	Y (0.932)	Non-effector
FUN_006190-T1 FUN_006190	-	-	Y (0.985)	Non-effector
FUN_006191-T1 FUN_006191	-	-	Y (0.653)	Non-effector
FUN_006192-T1 FUN_006192	-	-	Y (0.983)	Non-effector
FUN_006193-T1 FUN_006193	-	-	Y (0.656)	Non-effector
FUN_006194-T1 FUN_006194	-	Y (0.952)	-	Apoplastic effector
FUN_006195-T1 FUN_006195	-	-	Y (0.869)	Non-effector
FUN_006196-T1 FUN_006196	Y (0.651)	-	-	Cytoplasmic effector
FUN_006197-T1 FUN_006197	-	-	Y (0.731)	Non-effector
FUN_006198-T1 FUN_006198	-	-	Y (0.906)	Non-effector
FUN_006199-T1 FUN_006199	-	-	Y (0.714)	Non-effector
FUN_006200-T1 FUN_006200	-	-	Y (0.913)	Non-effector
FUN_006201-T1 FUN_006201	-	-	Y (0.918)	Non-effector
FUN_006202-T1 FUN_006202	-	-	Y (0.612)	Non-effector
FUN_006203-T1 FUN_006203	Y (0.692)	-	-	Cytoplasmic effector
FUN_006204-T1 FUN_006204	Y (0.803)	-	-	Cytoplasmic effector
FUN_006205-T1 FUN_006205	-	-	Y (0.734)	Non-effector
FUN_006206-T1 FUN_006206	-	-	Y (0.893)	Non-effector
FUN_006207-T1 FUN_006207	Y (0.92)	-	-	Cytoplasmic effector
FUN_006208-T1 FUN_006208	-	-	Y (0.972)	Non-effector
FUN_006209-T1 FUN_006209	-	-	Y (0.919)	Non-effector
FUN_006210-T1 FUN_006210	-	-	Y (0.819)	Non-effector
FUN_006211-T1 FUN_006211	-	-	Y (0.94)	Non-effector
FUN_006212-T1 FUN_006212	Y (0.583)	-	-	Cytoplasmic effector
FUN_006213-T1 FUN_006213	-	-	Y (0.912)	Non-effector
FUN_006214-T1 FUN_006214	Y (0.707)	-	-	Cytoplasmic effector
FUN_006215-T1 FUN_006215	-	-	Y (0.767)	Non-effector
FUN_006216-T1 FUN_006216	Y (0.778)	Y (0.864)	-	Apoplastic/cytoplasmic effector
FUN_006217-T1 FUN_006217	-	-	Y (0.963)	Non-effector
FUN_006218-T1 FUN_006218	-	-	Y (0.557)	Non-effector
FUN_006219-T1 FUN_006219	-	Y (0.697)	-	Apoplastic effector
FUN_006220-T1 FUN_006220	-	-	Y (0.835)	Non-effector
FUN_006221-T1 FUN_006221	-	-	Y (0.791)	Non-effector
FUN_006222-T1 FUN_006222	Y (0.538)	-	-	Cytoplasmic effector
FUN_006223-T1 FUN_006223	Y (0.824)	-	-	Cytoplasmic effector
FUN_006224-T1 FUN_006224	-	-	Y (0.873)	Non-effector
FUN_006225-T1 FUN_006225	-	-	Y (0.611)	Non-effector
FUN_006226-T1 FUN_006226	-	-	Y (0.76)	Non-effector
FUN_006227-T1 FUN_006227	-	-	Y (0.907)	Non-effector
FUN_006228-T1 FUN_006228	-	-	Y (0.985)	Non-effector
FUN_006229-T1 FUN_006229	-	-	Y (0.879)	Non-effector
FUN_006230-T1 FUN_006230	-	-	Y (0.653)	Non-effector
FUN_006231-T1 FUN_006231	-	-	Y (0.807)	Non-effector
FUN_006232-T1 FUN_006232	-	-	Y (0.854)	Non-effector
FUN_006233-T1 FUN_006233	-	-	Y (0.987)	Non-effector
FUN_006234-T1 FUN_006234	-	-	Y (0.853)	Non-effector
FUN_006235-T1 FUN_006235	-	-	Y (0.986)	Non-effector
FUN_006236-T1 FUN_006236	-	-	Y (0.854)	Non-effector
FUN_006237-T1 FUN_006237	-	-	Y (0.906)	Non-effector
FUN_006238-T1 FUN_006238	Y (0.676)	-	-	Cytoplasmic effector
FUN_006239-T1 FUN_006239	Y (0.509)	-	-	Cytoplasmic effector
FUN_006240-T1 FUN_006240	-	-	Y (0.866)	Non-effector
FUN_006241-T1 FUN_006241	Y (0.824)	-	-	Cytoplasmic effector
FUN_006242-T1 FUN_006242	-	-	Y (0.988)	Non-effector
FUN_006243-T1 FUN_006243	-	-	Y (0.677)	Non-effector
FUN_006244-T1 FUN_006244	-	-	Y (0.896)	Non-effector
FUN_006245-T1 FUN_006245	-	Y (0.531)	-	Apoplastic effector
FUN_006246-T1 FUN_006246	-	-	Y (0.965)	Non-effector
FUN_006247-T1 FUN_006247	Y (0.654)	-	-	Cytoplasmic effector
FUN_006248-T1 FUN_006248	-	-	Y (0.936)	Non-effector
FUN_006249-T1 FUN_006249	-	-	Y (0.511)	Non-effector
FUN_006250-T1 FUN_006250	-	-	Y (0.845)	Non-effector
FUN_006252-T1 FUN_006252	-	-	Y (0.964)	Non-effector
FUN_006253-T1 FUN_006253	Y (0.822)	-	-	Cytoplasmic effector
FUN_006254-T1 FUN_006254	-	-	Y (0.689)	Non-effector
FUN_006255-T1 FUN_006255	Y (0.724)	-	-	Cytoplasmic effector
FUN_006256-T1 FUN_006256	Y (0.746)	-	-	Cytoplasmic effector
FUN_006257-T1 FUN_006257	-	-	Y (0.973)	Non-effector
FUN_006258-T1 FUN_006258	-	-	Y (0.794)	Non-effector
FUN_006259-T1 FUN_006259	-	-	Y (0.636)	Non-effector
FUN_006260-T1 FUN_006260	Y (0.869)	-	-	Cytoplasmic effector
FUN_006261-T1 FUN_006261	-	-	Y (0.923)	Non-effector
FUN_006262-T1 FUN_006262	Y (0.505)	-	-	Cytoplasmic effector
FUN_006263-T1 FUN_006263	-	-	Y (0.953)	Non-effector
