From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A0B4GXV7	A0A0B4GXV7	unreviewed	A0A0B4GXV7_METMF	beta-N-acetylhexosaminidase (EC 3.2.1.52)	MAJ_10851	Metarhizium majus (strain ARSEF 297)	473
A0A545UKB4	A0A545UKB4	unreviewed	A0A545UKB4_9HYPO	Beta-hexosaminidase (EC 3.2.1.52)	IF1G_11434	Cordyceps javanica	497
A0A4S9S5J9	A0A4S9S5J9	unreviewed	A0A4S9S5J9_AURPU	Expansin-like EG45 domain-containing protein	D6C93_01416	Aureobasidium pullulans (Black yeast) (Pullularia pullulans)	203
A0A178CMY3	A0A178CMY3		A0A178CMY3_9EURO	deleted			
A0A1V8ULM5	A0A1V8ULM5	unreviewed	A0A1V8ULM5_9PEZI	CBM1 domain-containing protein	B0A51_08725	Rachicladosporium sp. CCFEE 5018	1002
A0A0U1M1Y9	A0A0U1M1Y9	unreviewed	A0A0U1M1Y9_TALIS	Expansin-like EG45 domain-containing protein	PISL3812_06622	Talaromyces islandicus (Penicillium islandicum)	156
A0A804R508	A0A804R508	unreviewed	A0A804R508_MAIZE	Expansin		Zea mays (Maize)	188
A0A8A8T8D8	A0A8A8T8D8		A0A8A8T8D8_9STAP	deleted			
A0A0D2XJK4	A0A0D2XJK4	unreviewed	A0A0D2XJK4_FUSOF	Secreted protein		Fusarium oxysporum (strain Fo5176) (Fusarium vascular wilt)	190
A0A679NV77	A0A679NV77		A0A679NV77_GIBZA	deleted			
A0A2J6PP26	A0A2J6PP26	unreviewed	A0A2J6PP26_9HELO	WW domain-containing protein	NA56DRAFT_709432	Hyaloscypha hepaticicola	765
A0A2T4B8G4	A0A2T4B8G4	unreviewed	A0A2T4B8G4_9HYPO	Cell wall protein PhiA	BBK36DRAFT_4941	Trichoderma citrinoviride	195
A0A0F9ZW38	A0A0F9ZW38	unreviewed	A0A0F9ZW38_TRIHA	Uncharacterized protein	THAR02_03618	Trichoderma harzianum (Hypocrea lixii)	558
A0A2T2N486	A0A2T2N486	unreviewed	A0A2T2N486_CORCC	Secreted protein	BS50DRAFT_640479	Corynespora cassiicola Philippines	163
A0A6A5ZMG3	A0A6A5ZMG3	unreviewed	A0A6A5ZMG3_9PLEO	Uncharacterized protein	BDV96DRAFT_485620	Lophiotrema nucula	167
A0A094B8L7	A0A094B8L7	unreviewed	A0A094B8L7_9PEZI	Ecp2 effector protein domain-containing protein	V493_00875	Pseudogymnoascus sp. VKM F-4281 (FW-2241)	238
A0A4Y9YIY8	A0A4Y9YIY8	unreviewed	A0A4Y9YIY8_9AGAM	Uncharacterized protein	EVG20_g7000	Dentipellis fragilis	392
A0A7C5C735	A0A7C5C735	unreviewed	A0A7C5C735_9BACT	Uncharacterized protein	ENK75_01300	Saprospiraceae bacterium	259
A0A542XLK0	A0A542XLK0	unreviewed	A0A542XLK0_SALAC	Uncharacterized protein	FB564_1845	Salinispora arenicola	277
A0A654H7U9	A0A654H7U9		A0A654H7U9_9CEST	deleted			
A0A066VPL4	A0A066VPL4	unreviewed	A0A066VPL4_9AGAM	GH16 domain-containing protein	RSAG8_06890	Rhizoctonia solani AG-8 WAC10335	285
A0A4U0U2S3	A0A4U0U2S3	unreviewed	A0A4U0U2S3_9PEZI	GH16 domain-containing protein	B0A50_03803	Salinomyces thailandica	355
A0A0K6GJ25	A0A0K6GJ25	unreviewed	A0A0K6GJ25_9AGAM	Epoxide hydrolase, putative	hyl1 RSOLAG22IIIB_07130	Rhizoctonia solani	546
A0A7S8HSI9	A0A7S8HSI9	unreviewed	A0A7S8HSI9_FUSCU	GH16 domain-containing protein	HYE67_002093	Fusarium culmorum	264
A0A409VYF9	A0A409VYF9	unreviewed	A0A409VYF9_9AGAR	GH16 domain-containing protein	CVT24_012341	Panaeolus cyanescens	368
A0A4S9HIU3	A0A4S9HIU3	unreviewed	A0A4S9HIU3_AURPU	Alpha/beta-hydrolase	D6D05_06817	Aureobasidium pullulans (Black yeast) (Pullularia pullulans)	385
A0A409Y064	A0A409Y064	unreviewed	A0A409Y064_9AGAR	AB hydrolase-1 domain-containing protein	CVT26_005027	Gymnopilus dilepis	391
A0A816NRN9	A0A816NRN9	unreviewed	A0A816NRN9_9BILA	Cell wall protein	WKI299_LOCUS8025	Rotaria magnacalcarata	59
A0A633B116	A0A633B116	unreviewed	A0A633B116_SALER	TraT complement resistance protein	GCX61_25000	Salmonella enterica (Salmonella choleraesuis)	118
A0A183MFT4	A0A183MFT4	unreviewed	A0A183MFT4_9TREM	Uncharacterized protein	SMRZ_LOCUS14909	Schistosoma margrebowiei	67
A0A5J4L6E1	A0A5J4L6E1	unreviewed	A0A5J4L6E1_9ZZZZ	Glycine zipper 2TM domain-containing protein	A45J_2048	hot springs metagenome	128
A0A3M0YK36	A0A3M0YK36	unreviewed	A0A3M0YK36_UNCBA	Uncharacterized protein	D6818_06500	Bacteroidota bacterium	292
T1GJS5	T1GJS5	unreviewed	T1GJS5_MEGSC	Invertebrate defensins family profile domain-containing protein		Megaselia scalaris (Humpbacked fly) (Phora scalaris)	96
A0A1E3BLY8	A0A1E3BLY8	unreviewed	A0A1E3BLY8_ASPCR	Invertebrate defensins family profile domain-containing protein	SI65_02819	Aspergillus cristatus (Chinese Fuzhuan brick tea-fermentation fungus) (Eurotium cristatum)	69
A0A559M524	A0A559M524	unreviewed	A0A559M524_9HELO	Uncharacterized protein	LAWI1_G007597	Lachnellula willkommii	166
A0A2P8XF51	A0A2P8XF51		A0A2P8XF51_BLAGE	deleted			
A0A811VG56	A0A811VG56	unreviewed	A0A811VG56_CERCA	(Mediterranean fruit fly) hypothetical protein	CCAP1982_LOCUS23235	Ceratitis capitata (Mediterranean fruit fly) (Tephritis capitata)	135
A0A178BRK4	A0A178BRK4		A0A178BRK4_9EURO	deleted			
A0A0D2GG01	A0A0D2GG01	unreviewed	A0A0D2GG01_9EURO	Glycoside hydrolase family 43 protein	Z517_06357	Fonsecaea pedrosoi CBS 271.37	387
A0A1J7IMW8	A0A1J7IMW8	unreviewed	A0A1J7IMW8_9PEZI	Glycosyl hydrolase family 43 protein	CONLIGDRAFT_577627	Coniochaeta ligniaria NRRL 30616	299
A0A423WKB0	A0A423WKB0	unreviewed	A0A423WKB0_9PEZI	F-box domain-containing protein	VPNG_07254	Cytospora leucostoma	1246
W9YMV0	W9YMV0	unreviewed	W9YMV0_9EURO	Glycoside hydrolase family 43 protein	A1O1_02241	Capronia coronata CBS 617.96	294
A0A6A6U7K6	A0A6A6U7K6	unreviewed	A0A6A6U7K6_9PEZI	Cutinase (EC 3.1.1.74)	BT63DRAFT_458040	Microthyrium microscopicum	238
A0A3M7EGU2	A0A3M7EGU2	unreviewed	A0A3M7EGU2_HORWE	Cutinase (EC 3.1.1.74)	D0864_09753	Hortaea werneckii	613
W6YHF0	W6YHF0	unreviewed	W6YHF0_COCC2	Cutinase (EC 3.1.1.74)	COCCADRAFT_39057	Cochliobolus carbonum (strain 26-R-13) (Maize leaf spot fungus) (Bipolaris zeicola)	341
A0A3M6ZB58	A0A3M6ZB58	unreviewed	A0A3M6ZB58_HORWE	Cutinase (EC 3.1.1.74)	D0868_02503	Hortaea werneckii	547
A0A6A5K6V5	A0A6A5K6V5	unreviewed	A0A6A5K6V5_9PLEO	Cutinase (EC 3.1.1.74)	BDW02DRAFT_484604	Decorospora gaudefroyi	181
A0A6A5YBN8	A0A6A5YBN8	unreviewed	A0A6A5YBN8_9PLEO	Carbohydrate-binding module family 18	BU24DRAFT_430530	Aaosphaeria arxii CBS 175.79	764
A0A6A5S2H8	A0A6A5S2H8	unreviewed	A0A6A5S2H8_9PLEO	Carbohydrate-binding module family 18	M421DRAFT_96988	Didymella exigua CBS 183.55	1042
A0A3N4L640	A0A3N4L640	unreviewed	A0A3N4L640_9PEZI	Galactose oxidase	P167DRAFT_544478	Morchella conica CCBAS932	872
A0A1E1LN66	A0A1E1LN66	unreviewed	A0A1E1LN66_9HELO	Related to glyoxal oxidase	RCO7_11395	Rhynchosporium commune	823
A0A7C8UEV5	A0A7C8UEV5	unreviewed	A0A7C8UEV5_ORBOL	Chitin-binding type-1 domain-containing protein	TWF191_001423	Orbilia oligospora (Nematode-trapping fungus) (Arthrobotrys oligospora)	739
Q96VD0	Q96VD0	unreviewed	Q96VD0_9LECA	Hydrophobin H1	h1	Xanthoria parietina	110
R7YNN0	R7YNN0	unreviewed	R7YNN0_CONA1	Hydrophobin	W97_02753	Coniosporium apollinis (strain CBS 100218) (Rock-inhabiting black yeast)	89
K2AQD0	K2AQD0	unreviewed	K2AQD0_9BACT	Uncharacterized protein	ACD_46C00589G0003	uncultured bacterium	239
A0A2U2AXU5	A0A2U2AXU5		A0A2U2AXU5_9ACTN	deleted			
B9DR15	B9DR15	unreviewed	B9DR15_9LECA	Hydrophobin	h1	Xanthoria sp. 1653(143.2)	83
A0A438DDP4	A0A438DDP4	unreviewed	A0A438DDP4_VITVI	Cysteine-rich receptor-like protein kinase 10	CRK10_2 CK203_080040	Vitis vinifera (Grape)	619
F6H843	F6H843	unreviewed	F6H843_VITVI	Cysteine-rich receptor-like protein kinase 29	VIT_00s0262g00120	Vitis vinifera (Grape)	961
A0A022R2I9	A0A022R2I9	unreviewed	A0A022R2I9_ERYGU	Gnk2-homologous domain-containing protein	MIMGU_mgv11b015381mg	Erythranthe guttata (Yellow monkey flower) (Mimulus guttatus)	267
A0A438FEF3	A0A438FEF3	unreviewed	A0A438FEF3_VITVI	Cysteine-rich repeat secretory protein 38	CRRSP38_1 CK203_113614	Vitis vinifera (Grape)	309
A0A0A9P2N8	A0A0A9P2N8	unreviewed	A0A0A9P2N8_ARUDO	Gnk2-homologous domain-containing protein		Arundo donax (Giant reed) (Donax arundinaceus)	166
A0A5J5ERY1	A0A5J5ERY1	unreviewed	A0A5J5ERY1_9PEZI	Alpha/Beta hydrolase protein	FN846DRAFT_899693	Sphaerosporella brunnea	312
A0A2C5ZFB3	A0A2C5ZFB3	unreviewed	A0A2C5ZFB3_9HYPO	Fungal lipase-like domain-containing protein	CDD82_2889	Ophiocordyceps australis	362
A0A109UW53	A0A109UW53	unreviewed	A0A109UW53_9SACH	triacylglycerol lipase (EC 3.1.1.3)	AW171_hschr2190	Eremothecium sinecaudum	316
A0A194XIJ8	A0A194XIJ8	unreviewed	A0A194XIJ8_MOLSC	Alpha/beta-hydrolase	LY89DRAFT_774091	Mollisia scopiformis (Conifer needle endophyte fungus) (Phialocephala scopiformis)	650
A0A0G2F638	A0A0G2F638	unreviewed	A0A0G2F638_9PEZI	Putative feruloyl esterase a	UCDDA912_g10386	Diaporthe ampelina	288
A0A517LJC5	A0A517LJC5	unreviewed	A0A517LJC5_9PEZI	AB hydrolase-1 domain-containing protein	FKW77_008463	Venturia effusa	421
A0A319E729	A0A319E729	unreviewed	A0A319E729_ASPSB	Uncharacterized protein	BO78DRAFT_321509	Aspergillus sclerotiicarbonarius (strain CBS 121057 / IBT 28362)	471
A0A3M2LXD7	A0A3M2LXD7	unreviewed	A0A3M2LXD7_9ACTN	Alpha/beta fold hydrolase	EBO15_21950	Actinomadura harenae	491
A0A1R3RB65	A0A1R3RB65	unreviewed	A0A1R3RB65_ASPC5	AB hydrolase-1 domain-containing protein	ASPCADRAFT_210727	Aspergillus carbonarius (strain ITEM 5010)	342
A0A1Q7BG92	A0A1Q7BG92	unreviewed	A0A1Q7BG92_9ACTN	AB hydrolase-1 domain-containing protein	AUI14_26285	Actinobacteria bacterium 13_2_20CM_2_71_6	525
C1GWU2	C1GWU2	unreviewed	C1GWU2_PARBA	Polysaccharide export protein (CAP59)	PAAG_03316	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	421
A0A6A6S4M6	A0A6A6S4M6	unreviewed	A0A6A6S4M6_9PLEO	Glycosyltransferase family 69 protein	P280DRAFT_468204	Massarina eburnea CBS 473.64	399
A0A3M7HZS6	A0A3M7HZS6	unreviewed	A0A3M7HZS6_HORWE	Polysaccharide export protein	D0862_00091	Hortaea werneckii	454
A0A168KWB5	A0A168KWB5	unreviewed	A0A168KWB5_CORDF	Polysaccharide export protein	LEL_01905	Akanthomyces lecanii RCEF 1005	410
M3CML3	M3CML3	unreviewed	M3CML3_SPHMS	Glycosyltransferase family 69 protein	SEPMUDRAFT_138816	Sphaerulina musiva (strain SO2202) (Poplar stem canker fungus) (Septoria musiva)	390
A0A6A6ULT3	A0A6A6ULT3	unreviewed	A0A6A6ULT3_9PEZI	Prolyl aminopeptidase-like protein	BT63DRAFT_353013	Microthyrium microscopicum	422
A0A178B9N1	A0A178B9N1	unreviewed	A0A178B9N1_9PLEO	Alpha/beta-hydrolase	IQ06DRAFT_288376	Stagonospora sp. SRC1lsM3a	459
A0A2V1DUR0	A0A2V1DUR0	unreviewed	A0A2V1DUR0_9PLEO	Alpha/beta-hydrolase	DM02DRAFT_706660	Periconia macrospinosa	425
A0A7C8MIA6	A0A7C8MIA6	unreviewed	A0A7C8MIA6_9PLEO	Alpha/Beta hydrolase protein	BDV95DRAFT_610686	Massariosphaeria phaeospora	400
A0A4Z1HBP3	A0A4Z1HBP3	unreviewed	A0A4Z1HBP3_9HELO	Serine aminopeptidase S33 domain-containing protein	BOTNAR_0577g00020	Botryotinia narcissicola	301
A0A428PJV0	A0A428PJV0	unreviewed	A0A428PJV0_9HYPO	Beta-lactamase-related domain-containing protein	CEP54_010462	Fusarium duplospermum	605
A0A2V1BZZ6	A0A2V1BZZ6	unreviewed	A0A2V1BZZ6_9HELO	Beta-lactamase/transpeptidase-like protein	DL98DRAFT_633414	Cadophora sp. DSE1049	602
D4AWJ1	D4AWJ1	unreviewed	D4AWJ1_ARTBC	Beta-lactamase-related domain-containing protein	ARB_00556	Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	1084
A0A6A5YQV5	A0A6A5YQV5	unreviewed	A0A6A5YQV5_9PLEO	Beta-lactamase/transpeptidase-like protein	BDV96DRAFT_604695	Lophiotrema nucula	559
A0A1T5DQ08	A0A1T5DQ08	unreviewed	A0A1T5DQ08_9FLAO	CubicO group peptidase, beta-lactamase class C family	SAMN05660866_03041	Maribacter arcticus	663
A0A2T2NYB4	A0A2T2NYB4	unreviewed	A0A2T2NYB4_CORCC	Apple domain-containing protein	BS50DRAFT_311990	Corynespora cassiicola Philippines	302
A0A6A6Y414	A0A6A6Y414	unreviewed	A0A6A6Y414_9PEZI	Apple domain-containing protein	BDZ99DRAFT_526723	Mytilinidion resinicola	298
A0A2T7PVC4	A0A2T7PVC4	unreviewed	A0A2T7PVC4_POMCA	MACPF domain-containing protein	C0Q70_04368	Pomacea canaliculata (Golden apple snail)	492
A0A1B8ARQ3	A0A1B8ARQ3	unreviewed	A0A1B8ARQ3_FUSPO	Apple domain-containing protein	FPOA_09340	Fusarium poae	433
A0A443Q9A2	A0A443Q9A2	unreviewed	A0A443Q9A2_9ACAR	Apple domain-containing protein	B4U79_17000	Dinothrombium tinctorium	179
A0A2N3NJP6	A0A2N3NJP6	unreviewed	A0A2N3NJP6_9PEZI	Carboxylic ester hydrolase (EC 3.1.1.-)	jhhlp_000839	Lomentospora prolificans	627
A0A175W3Y4	A0A175W3Y4	unreviewed	A0A175W3Y4_9PEZI	Carboxylic ester hydrolase (EC 3.1.1.-)	MMYC01_206788	Madurella mycetomatis	637
A0A6A6CV12	A0A6A6CV12	unreviewed	A0A6A6CV12_ZASCE	Carboxylic ester hydrolase (EC 3.1.1.-)	M409DRAFT_18857	Zasmidium cellare ATCC 36951	615
W3XLY7	W3XLY7	unreviewed	W3XLY7_PESFW	Carboxylic ester hydrolase (EC 3.1.1.-)	PFICI_00089	Pestalotiopsis fici (strain W106-1 / CGMCC3.15140)	573
A0A4V1TS83	A0A4V1TS83		A0A4V1TS83_9BURK	deleted			
A0A7G5K3Z2	A0A7G5K3Z2		A0A7G5K3Z2_ASPFL	deleted			
A0A5N6E0J9	A0A5N6E0J9	unreviewed	A0A5N6E0J9_ASPPA	Asl1-like glycosyl hydrolase catalytic domain-containing protein	BDV34DRAFT_186030	Aspergillus parasiticus	206
A0A1W5CXF7	A0A1W5CXF7	unreviewed	A0A1W5CXF7_9LECA	Uncharacterized conserved protein UCP028846		Lasallia pustulata	974
A0A5M8PLK7	A0A5M8PLK7	unreviewed	A0A5M8PLK7_9LECA	FAD-binding PCMH-type domain-containing protein	FRX48_05828	Lasallia pustulata	518
U4LP93	U4LP93	unreviewed	U4LP93_PYROM	Similar to Bifunctional solanapyrone synthase acc. no. D7UQ40	PCON_01068	Pyronema omphalodes (strain CBS 100304) (Pyronema confluens)	507
A0A6A6CN22	A0A6A6CN22	unreviewed	A0A6A6CN22_ZASCE	FAD-binding PCMH-type domain-containing protein	M409DRAFT_66307	Zasmidium cellare ATCC 36951	471
A0A5N5CY28	A0A5N5CY28	unreviewed	A0A5N5CY28_9PEZI	beta-glucosidase (EC 3.2.1.21)	bglA_2 DBV05_g11063	Lasiodiplodia theobromae	975
Q0CTD7	Q0CTD7	reviewed	BGLA_ASPTN	Probable beta-glucosidase A (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase A) (Cellobiase A) (Gentiobiase A)	bglA bgl1 ATEG_03047	Aspergillus terreus (strain NIH 2624 / FGSC A1156)	861
A0A2G7G8L5	A0A2G7G8L5	unreviewed	A0A2G7G8L5_9EURO	Acyl-coenzyme A diphosphatase SCS3 (EC 3.6.1.-) (FIT family protein SCS3)	SCS3 FIT2B AARAC_011106	Aspergillus arachidicola	1169
B7U4V8	B7U4V8	unreviewed	B7U4V8_ASPNG	beta-glucosidase (EC 3.2.1.21)		Aspergillus niger	836
A0A0F8V0Z5	A0A0F8V0Z5	unreviewed	A0A0F8V0Z5_9EURO	beta-glucosidase (EC 3.2.1.21)	ARAM_007295	Aspergillus rambellii	1140
A0A4Q4QFQ8	A0A4Q4QFQ8		A0A4Q4QFQ8_9PLEO	deleted			
A0A4Q4SRX6	A0A4Q4SRX6	unreviewed	A0A4Q4SRX6_9PLEO	Uncharacterized protein	AA0113_g654	Alternaria arborescens	390
A0A177DZ91	A0A177DZ91	unreviewed	A0A177DZ91_ALTAL	Uncharacterized protein	CC77DRAFT_298056	Alternaria alternata (Alternaria rot fungus) (Torula alternata)	307
A0A1Y1YB21	A0A1Y1YB21	unreviewed	A0A1Y1YB21_9PLEO	Uncharacterized protein	BCR34DRAFT_205657	Clohesyomyces aquaticus	185
A0A6A6RRQ8	A0A6A6RRQ8	unreviewed	A0A6A6RRQ8_9PLEO	Uncharacterized protein	P280DRAFT_85747	Massarina eburnea CBS 473.64	245
A0A1B8CR24	A0A1B8CR24	unreviewed	A0A1B8CR24_9PEZI	cellulase (EC 3.2.1.4)	VE00_00259	Pseudogymnoascus sp. WSF 3629	688
A0A094H9E2	A0A094H9E2	unreviewed	A0A094H9E2_9PEZI	cellulase (EC 3.2.1.4)	V502_07494	Pseudogymnoascus sp. VKM F-4520 (FW-2644)	719
A0A094HHD7	A0A094HHD7	unreviewed	A0A094HHD7_9PEZI	cellulase (EC 3.2.1.4)	V501_03299	Pseudogymnoascus sp. VKM F-4519 (FW-2642)	1115
G4TZ66	G4TZ66	unreviewed	G4TZ66_SERID	cellulase (EC 3.2.1.4)	PIIN_10600	Serendipita indica (strain DSM 11827) (Root endophyte fungus) (Piriformospora indica)	441
A0A094FXG2	A0A094FXG2	unreviewed	A0A094FXG2_9PEZI	cellulase (EC 3.2.1.4)	V498_03332	Pseudogymnoascus sp. VKM F-4517 (FW-2822)	368
A0A6A6GM90	A0A6A6GM90	unreviewed	A0A6A6GM90_9PEZI	Glutaminase A	BDZ85DRAFT_211971	Elsinoe ampelina	809
A0A0U1LR85	A0A0U1LR85	unreviewed	A0A0U1LR85_TALIS	UPF0202 protein	PISL3812_02917	Talaromyces islandicus (Penicillium islandicum)	821
A0A5J5EKM0	A0A5J5EKM0	unreviewed	A0A5J5EKM0_9PEZI	Glutaminase A	FN846DRAFT_316501	Sphaerosporella brunnea	725
A0A4S8Z2X7	A0A4S8Z2X7	unreviewed	A0A4S8Z2X7_AURPU	Putative glutaminase	D6D20_06268	Aureobasidium pullulans (Black yeast) (Pullularia pullulans)	582
A0A6A5UWN8	A0A6A5UWN8	unreviewed	A0A6A5UWN8_9PLEO	DUF1793-domain-containing protein	BU23DRAFT_583415	Bimuria novae-zelandiae CBS 107.79	656
A0A0F4GCX7	A0A0F4GCX7	unreviewed	A0A0F4GCX7_9PEZI	Cell wall glucanase like protein	TI39_contig4128g00021	Zymoseptoria brevis	367
A0A1X7S612	A0A1X7S612	unreviewed	A0A1X7S612_ZYMTR	Methyltransferase small domain-containing protein	ZT3D7_G10234	Zymoseptoria tritici ST99CH_3D7	685
A0A5N6TMG0	A0A5N6TMG0	unreviewed	A0A5N6TMG0_9EURO	Glycoside hydrolase superfamily	BDV25DRAFT_169089	Aspergillus avenaceus	296
A0A1Z8JSI1	A0A1Z8JSI1	unreviewed	A0A1Z8JSI1_PICKU	Cell surface mannoprotein MP65	CAS74_001831	Pichia kudriavzevii (Yeast) (Issatchenkia orientalis)	376
A0A1V2LFU3	A0A1V2LFU3	unreviewed	A0A1V2LFU3_PICKU	Cell surface mannoprotein MP65	BOH78_4862	Pichia kudriavzevii (Yeast) (Issatchenkia orientalis)	430
A0A1L7XN80	A0A1L7XN80	unreviewed	A0A1L7XN80_9HELO	Ricin B lectin domain-containing protein	PAC_16379	Phialocephala subalpina	217
A0A229REW7	A0A229REW7	unreviewed	A0A229REW7_AMYAL	Ricin B lectin domain-containing protein	CFP75_31990	Amycolatopsis alba DSM 44262	169
A0A7U6HSX8	A0A7U6HSX8		A0A7U6HSX8_VIBVL	deleted			
A0A5N7E2W3	A0A5N7E2W3		A0A5N7E2W3_9EURO	deleted			
A0A5N6IAK6	A0A5N6IAK6	unreviewed	A0A5N6IAK6_9EURO	Uncharacterized protein	BDV37DRAFT_284508	Aspergillus pseudonomiae	185
W9YLS9	W9YLS9	unreviewed	W9YLS9_9EURO	Uncharacterized protein	A1O1_03743	Capronia coronata CBS 617.96	191
A0A194VTQ5	A0A194VTQ5	unreviewed	A0A194VTQ5_9PEZI	Uncharacterized protein	VM1G_02674	Valsa mali	238
A0A3D8R7U4	A0A3D8R7U4	unreviewed	A0A3D8R7U4_9HELO	Uncharacterized protein	BP5796_08522	Coleophoma crateriformis	176
A0A194UXV0	A0A194UXV0	unreviewed	A0A194UXV0_9PEZI	Uncharacterized protein	VP1G_03900	Valsa mali var. pyri (nom. inval.)	196
W9XVS0	W9XVS0	unreviewed	W9XVS0_9EURO	Uncharacterized protein	A1O3_07394	Capronia epimyces CBS 606.96	177
A0A496RWZ2	A0A496RWZ2	unreviewed	A0A496RWZ2_UNCOM	Uncharacterized protein	DRP85_08670	Omnitrophica bacterium (Omnitrophota bacterium)	750
A0A661Z4V0	A0A661Z4V0	unreviewed	A0A661Z4V0_UNCBA	Secretion system C-terminal sorting domain-containing protein	DRI86_03980	Bacteroidota bacterium	740
A0A7V4YSH3	A0A7V4YSH3	unreviewed	A0A7V4YSH3_UNCBA	PKD domain-containing protein	ENR17_01095	Bacteroidota bacterium	168
A0A3M1N086	A0A3M1N086	unreviewed	A0A3M1N086_UNCBA	PKD domain-containing protein	D6750_08860	Bacteroidota bacterium	523
A0A848FDC8	A0A848FDC8	unreviewed	A0A848FDC8_9BURK	Bacterial Ig-like domain-containing protein	HHL10_20255	Azohydromonas caseinilytica	665
A0A0D1ZSJ7	A0A0D1ZSJ7	unreviewed	A0A0D1ZSJ7_EXOME	Yeast cell wall synthesis Kre9/Knh1-like N-terminal domain-containing protein	PV10_07185	Exophiala mesophila (Black yeast)	223
A0A0F8V2U6	A0A0F8V2U6	unreviewed	A0A0F8V2U6_9EURO	Yeast cell wall synthesis Kre9/Knh1-like N-terminal domain-containing protein	AOCH_001797	Aspergillus ochraceoroseus	284
E4ZVU3	E4ZVU3	unreviewed	E4ZVU3_LEPMJ	Yeast cell wall synthesis Kre9/Knh1-like N-terminal domain-containing protein	LEMA_P028710.1	Leptosphaeria maculans (strain JN3 / isolate v23.1.3 / race Av1-4-5-6-7-8) (Blackleg fungus) (Phoma lingam)	145
A0A017S4Q5	A0A017S4Q5	unreviewed	A0A017S4Q5_ASPRC	Yeast cell wall synthesis Kre9/Knh1-like N-terminal domain-containing protein	EURHEDRAFT_526008	Aspergillus ruber (strain CBS 135680)	192
A0A6A7B552	A0A6A7B552	unreviewed	A0A6A7B552_9PLEO	Yeast cell wall synthesis Kre9/Knh1-like N-terminal domain-containing protein	T440DRAFT_80706	Plenodomus tracheiphilus IPT5	212
A0A4R6SBW0	A0A4R6SBW0	unreviewed	A0A4R6SBW0_LABRH	non-specific serine/threonine protein kinase (EC 2.7.11.1)	EV186_104494	Labedaea rhizosphaerae	502
A0A3A4ANJ3	A0A3A4ANJ3	unreviewed	A0A3A4ANJ3_9ACTN	non-specific serine/threonine protein kinase (EC 2.7.11.1)	D5H75_24680	Bailinhaonella thermotolerans	946
A0A3D4EYJ0	A0A3D4EYJ0	unreviewed	A0A3D4EYJ0_9BACT	Beta-lactamase-related domain-containing protein	DIV46_08295	Verrucomicrobiales bacterium	337
A0A2D4HNY7	A0A2D4HNY7	unreviewed	A0A2D4HNY7_MICLE	DH domain-containing protein		Micrurus lemniscatus lemniscatus	351
A0A2A8BVZ5	A0A2A8BVZ5	unreviewed	A0A2A8BVZ5_9BACI	Uncharacterized protein	CN611_02920	Bacillus wiedmannii	272
A0A6A5YKP2	A0A6A5YKP2	unreviewed	A0A6A5YKP2_9PLEO	Lysine-specific metallo-endopeptidase domain-containing protein	BDV96DRAFT_294048	Lophiotrema nucula	302
B2AKP7	B2AKP7	unreviewed	B2AKP7_PODAN	Podospora anserina S mat+ genomic DNA chromosome 5, supercontig 9	PODANS_5_7865	Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383) (Pleurage anserina)	285
A0A6A6XRZ9	A0A6A6XRZ9	unreviewed	A0A6A6XRZ9_9PLEO	Peptidase M43 pregnancy-associated plasma-A domain-containing protein	K505DRAFT_391221	Melanomma pulvis-pyrius CBS 109.77	403
A0A6A5URD1	A0A6A5URD1	unreviewed	A0A6A5URD1_9PLEO	Lysine-specific metallo-endopeptidase domain-containing protein	BU23DRAFT_661143	Bimuria novae-zelandiae CBS 107.79	317
A0A6A5ZRE4	A0A6A5ZRE4	unreviewed	A0A6A5ZRE4_9PLEO	Lysine-specific metallo-endopeptidase domain-containing protein	BDV96DRAFT_136833	Lophiotrema nucula	220
A0A084AF53	A0A084AF53	unreviewed	A0A084AF53_STACB	WD-like domain-containing protein	S7711_11605	Stachybotrys chartarum (strain CBS 109288 / IBT 7711) (Toxic black mold) (Stilbospora chartarum)	182
A0A6A6PH20	A0A6A6PH20	unreviewed	A0A6A6PH20_9PEZI	Small secreted protein	BDY17DRAFT_328052	Neohortaea acidophila	150
R8B8V1	R8B8V1	unreviewed	R8B8V1_PHAM7	Putative small secreted protein	UCRPA7_8878	Phaeoacremonium minimum (strain UCR-PA7) (Esca disease fungus) (Togninia minima)	138
A0A1B8AS76	A0A1B8AS76	unreviewed	A0A1B8AS76_FUSPO	Uncharacterized protein	FPOA_03886	Fusarium poae	526
A0A0F4ZKW9	A0A0F4ZKW9	unreviewed	A0A0F4ZKW9_9PEZI	Uncharacterized protein	TD95_000721	Thielaviopsis punctulata	169
A0A2C5XDF6	A0A2C5XDF6	unreviewed	A0A2C5XDF6_9PEZI	Small secreted protein	CFIMG_007696RA00001	Ceratocystis fimbriata CBS 114723	145
